code	people	time	dest-cargo
NC728	125	0	Latvia 
GA528	149	0	36
AF123	118	0	62
PI482	179	1	Bolivia 
LD919	51	0	67
LY190	122	1	Yemen 
GA831	54	1	Romania 
ZQ346	99	0	61
JJ662	149	1	Grenada 
NC686	170	1	Slovenia 
OR165	84	2	44
AF206	76	3	Mongolia 
KK124	186	4	Israel 
GT348	121	1	41
OR559	108	0	Bangladesh 
VB904	158	0	Philippines 
ZX845	62	3	70
NC695	195	3	78
LY481	72	5	63
NC523	102	5	Iraq 
LY830	127	1	Denmark 
AB252	181	1	53
KM571	112	1	Hungary 
MW458	83	1	Russia 
ZX672	107	0	59
KM280	116	1	Monaco 
AF721	179	1	Ireland 
NT517	182	1	60
ZX595	135	0	Japan 
XS743	65	1	75
MW719	167	5	77
FZ281	182	5	67
MW159	177	7	65
JJ561	52	7	53
GT770	65	6	34
AB403	149	6	Romania 
MC982	196	5	Israel 
AB580	141	6	Grenada 
VB713	65	7	66
AB449	149	6	Gambia
KK193	121	5	Israel 
KK797	134	5	Sri Lanka 
XS860	114	5	72
PI163	163	6	61
LD215	103	7	58
FZ425	67	8	38
KM240	146	10	Anguilla 
GA241	84	9	Seychelles 
MC795	95	10	36
GT592	176	9	Paraguay 
FU863	79	10	56
OR807	73	9	France 
FZ741	152	10	Nigeria 
AF511	128	4	Iraq 
GA127	179	5	Spain 
LD108	74	11	75
XS301	150	12	Hungary 
MW680	85	13	Russia 
FZ502	107	15	Honduras 
KK134	100	13	72
LY688	195	11	Israel 
LD906	75	10	49
LD753	196	9	Germany 
XS183	111	6	53
ZQ140	106	10	78
OR816	196	11	45
FU848	80	13	Mexico 
MC606	113	15	43
LD485	51	17	59
KK436	69	18	34
PI838	197	17	France 
LY902	178	19	65
PI132	58	26	32
PI150	185	20	32
XS809	79	21	Bermuda 
FU634	159	21	Cameroon 
FZ825	129	29	43
KM255	55	30	58
JJ369	97	31	Fiji 
VB748	54	31	Anguilla 
KM933	132	31	Seychelles 
KM372	70	31	52
GA104	88	32	77
NC675	100	34	Gibraltar 
JJ601	66	33	63
MW922	136	33	Vanuatu 
JJ971	143	34	Armenia 
VB585	102	31	57
ZQ847	139	31	Israel 
VB505	90	31	20
FZ198	51	31	France 
MC221	92	31	10
JJ387	151	35	65
NT551	55	36	73
NC209	63	35	Mexico 
AF723	147	36	53
XS706	140	35	Israel 
ZQ188	122	37	55
MC469	196	31	48
MW390	86	26	United States 
AF105	52	39	79
ZX638	78	41	45
FZ610	118	42	66
MC938	199	40	Sweden 
OR542	89	41	62
GT254	100	41	66
GT449	50	42	36
LD821	62	42	32
GT127	189	43	Zambia 
GA356	134	43	50
MC304	185	43	Malawi 
KM122	166	43	Uganda 
PI890	88	46	55
AF126	114	45	Japan 
GT721	149	40	74
ZX844	145	41	80
LY919	99	47	65
KK585	90	49	Sweden 
ZX562	128	51	46
AB974	185	50	Madagascar 
PI271	172	56	68
XS130	95	56	48
OR485	111	56	71
JJ355	99	51	Turkey 
NT668	197	53	34
VB582	97	50	Vietnam 
LY861	125	51	47
ZX259	123	52	Italy 
MW445	53	58	Egypt 
AF948	68	49	61
GT450	101	50	65
AB777	140	51	61
PI775	103	57	Albania 
ZX921	141	59	100
ZQ825	189	60	65
GA154	161	39	31
NT657	77	61	65
NT399	141	61	Ukraine 
KM835	155	62	68
NC141	168	60	39
NT501	197	70	Israel 
LD631	134	65	38
KK762	81	70	United States 
NC496	193	80	74
ZQ746	140	91	30
FU843	134	92	30
MC271	150	85	39
NT673	130	72	Italy 
MW627	90	120	40
NT852	92	98	63
JJ906	193	85	64
ZQ302	57	87	41
XS905	164	69	78
GA787	194	87	Israel 
KK785	94	91	48
LY524	97	95	Haiti 
ZQ538	156	94	46
OR715	138	90	Israel 
VB472	135	85	Monaco 
